"filename", "language", "JSON", "JavaScript", "Markdown", "JavaScript JSX", "PostCSS", "HTML", "XML", "comment", "blank", "total"
"d:\Social-Media\README.md", "Markdown", 0, 0, 125, 0, 0, 0, 0, 0, 16, 141
"d:\Social-Media\client\eslint.config.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 0, 2, 30
"d:\Social-Media\client\index.html", "HTML", 0, 0, 0, 0, 0, 13, 0, 0, 1, 14
"d:\Social-Media\client\package-lock.json", "JSON", 3622, 0, 0, 0, 0, 0, 0, 0, 1, 3623
"d:\Social-Media\client\package.json", "JSON", 34, 0, 0, 0, 0, 0, 0, 0, 1, 35
"d:\Social-Media\client\src\App.jsx", "JavaScript JSX", 0, 0, 0, 33, 0, 0, 0, 1, 5, 39
"d:\Social-Media\client\src\assets\assets.js", "JavaScript", 0, 282, 0, 0, 0, 0, 0, 2, 14, 298
"d:\Social-Media\client\src\assets\favicon.svg", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 1, 5
"d:\Social-Media\client\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Social-Media\client\src\components\Loading.jsx", "JavaScript JSX", 0, 0, 0, 10, 0, 0, 0, 0, 4, 14
"d:\Social-Media\client\src\components\MenuItems.jsx", "JavaScript JSX", 0, 0, 0, 18, 0, 0, 0, 0, 3, 21
"d:\Social-Media\client\src\components\PostCard.jsx", "JavaScript JSX", 0, 0, 0, 49, 0, 0, 0, 4, 12, 65
"d:\Social-Media\client\src\components\ProfileModal.jsx", "JavaScript JSX", 0, 0, 0, 73, 0, 0, 0, 2, 13, 88
"d:\Social-Media\client\src\components\Sidebar.jsx", "JavaScript JSX", 0, 0, 0, 34, 0, 0, 0, 0, 6, 40
"d:\Social-Media\client\src\components\StoriesBar.jsx", "JavaScript JSX", 0, 0, 0, 58, 0, 0, 0, 4, 10, 72
"d:\Social-Media\client\src\components\StoryModal.jsx", "JavaScript JSX", 0, 0, 0, 86, 0, 0, 0, 0, 9, 95
"d:\Social-Media\client\src\components\StoryViewer.jsx", "JavaScript JSX", 0, 0, 0, 72, 0, 0, 0, 5, 17, 94
"d:\Social-Media\client\src\components\UserCard.jsx", "JavaScript JSX", 0, 0, 0, 42, 0, 0, 0, 2, 12, 56
"d:\Social-Media\client\src\components\UserProfileInfo.jsx", "JavaScript JSX", 0, 0, 0, 57, 0, 0, 0, 2, 8, 67
"d:\Social-Media\client\src\index.css", "PostCSS", 0, 0, 0, 0, 14, 0, 0, 2, 6, 22
"d:\Social-Media\client\src\main.jsx", "JavaScript JSX", 0, 0, 0, 17, 0, 0, 0, 0, 3, 20
